Pet Name,Pet Birthday,Report AddedOn,Report EditOn,Report Temp,Report Reason,Report History,Report Examination,Report DiagnosticImaging,Report Lab,Report Diagnosis,Report Treatment,Report Plan,Report Prescription,Report Advice,Report Assessment,Report vitals,Report Note,Report Weight,Report WeightUnit,VisitExam ExaminationId,VisitExam ReportsId,VisitExam AddedOn,VisitExam Mentation,VisitExam Posture
Tommy,2015-12-09,2025-12-08T15:54:00.000,2025-12-09T16:12:33.933,,The dog was presented for persistent anorexia and a palpable mass on the right elbow of the forelimb. Pet parent reports appetite and is concerned about the swelling at the site.,"No medication have been administered prior to presentation.
The dog has received complete vaccination as per schedule.",,,,,,"Surgical excision of the mass is technically feasible. However, given the dog advanced age, anesthesia and surgery carry increased risk. Histopathology is recommended post surgery to determine malignancy.(If malignant, excision may be of limited curative value but could provide palliative benefit (relief from ulceration, infection and pain). If benign, surgical removal could significantly improve comfort and quality of life)",,,,,,,Kg,641.0,991.0,2025-12-09T16:10:59.033,,
Fungfung,2025-02-28,2025-12-10T13:10:00.000,,103,The cat was brought to the HAPPYPETS with vomition for the past 3 days after meal,"Appetite: Normal
No diarrhoea
Normal urination
No deworming history",,"No abnormality detected
No evidence of foreign body, obstruction or abdominal gas pattern",,"?Gastritis, parasitic cause (likely due to no deworming)",,"Monitor vomiting, appetite and activity. Return immediately if vomiting worsens, fever increases or cat become dull.","Gut well
One spoon once a day with meal for 10 days",,,,,,Kg,642.0,992.0,2025-12-10T13:17:53.017,,
Bhunti,2017-08-05,2025-12-09T13:21:00.000,2025-12-10T15:45:46.373,,Excessive salivation,"Past history of vulva discharge
Recent onset of vulva swelling",,,,Pyometra,Glucovetpet inj; Ranivapet inj,"IV FLUID THERAPY with IV antibiotics and abdominal x ray to evaluate the size and extent of the uterus with identification of abdominal abnormalities before surgery. Once patient is stabilized, OVARIOHYSTERECTOMY is the treatment of choice",,Timely surgery is essential as the dog is not eating and systemic infection may progress,,,"If the condition worsens (Vomiting, collapse or severe abdominal pain) then emergency surgery is the choice but it comes with risk so timely surgery is better choice",,Kg,643.0,993.0,2025-12-10T13:25:07.063,,
PINTU,2020-09-09,2025-12-10T13:53:00.000,2025-12-10T19:52:53.470,,Brought for castration,"Pet parent reports no major illness recently
Normal appetite, urination and defecation
Hernia surgery 9 sep 2024
Vaccination status and deworming status completed",,,,,,,"Clavum (Amox Clav) 375 mg tablet
One tablet twice a day after meal for 5 days","Keep the dog in quiet for 7 to 10 days. No jumping, running or playing. Walk only on leash for toilet purposes. Use E collar for 10 days to prevent licking or biting the stitches. Keep the incision area dry and clean. Check the wound area for swelling, redness or discharge or foul smell. No bathing for 10 days. Appetite may be low for 1 to 2 days post surgery and it’s normal. Give the antibiotics for 5 days. If there is vomiting, fever or foul smelling discharge from wound then call immediately.",,,,12.0,Kg,644.0,994.0,2025-12-10T13:55:54.217,,
Jasper,2019-11-30,2025-12-10T14:30:00.000,2025-12-10T16:02:57.430,,"Inactive & Dull
Halitosis","-Hind limb issue one year back
-hand feeding since young age
-Vomition negative
-stool normal",,,,,stercilin inj; Ranivapet inj,,"-Silytek suspension
10 ml twice a day after or with meal for 10 days

- Dental medicated tooth paste
Once a day",,,,If the respiratory difficulty worsens then x ray advised,9.0,Kg,645.0,995.0,2025-12-10T14:37:17.240,,
Bhunti,2017-08-05,2025-12-10T15:45:00.000,,,,,,,,,,,,,,,,,,,,,,
Jasper,2019-11-30,2025-12-10T15:53:00.000,,,,,,,,,,,,,,,,,,,,,,
Tate,2016-11-29,2025-12-10T16:20:00.000,,,,,,,,,,,,,,,,,,,,,,
Tommy,2015-12-09,2025-12-10T19:23:00.000,,,,,,,,,,,,,,,,,,,,,,
MIsty,2016-10-07,2025-12-12T17:43:00.000,,,,,,,,,,,,,,,,,,,,,,
prince,2019-07-25,2025-12-13T13:52:00.000,,,,,,,,,,,,,,,,,,,,,,
Hero,2023-10-17,2025-12-11T13:54:00.000,,,,,,,,,,,,,,,,,,,,,,
Bhunti,2017-08-05,2025-12-11T13:22:00.000,,,Surgery,,,,,,"11/12/13 Hospitlized
Release 13 December 2025
During Hospitilization
Metron, Ringer Lactate, Enro, Panzole inj",,,,,,,,Kg,646.0,1003.0,2025-12-17T13:24:17.177,,
Bhunti,2017-08-05,2025-12-16T13:24:00.000,,,Home visit for follow up,,,,,,diuretic inj,,"Clavum 625 mg tablet (started 13 Dec 2025)
One tablet twice a day after meal till 27 December 2025

Pantaprazole DSR (started 13 Dec 2025)
One capsule once a day at empty stomach till 27 dec 2025

Metronidazole 400 mg tablet (started 13 Dec 2025)
One tablet twice a day after meal till 27 Dec 2025

Prednisolone 10 mg tablet (started from 17 dec)
One tablet once a day after meal for 3 days

Aldactone 20 mg tablet (started from 17 dec)
One tablet once a day after meal for 3 days",,,,,,Kg,647.0,1004.0,2025-12-17T13:29:16.780,,
Mimi,2025-11-07,2025-12-13T13:40:00.000,,103.1,Anorexia & Vomition,"No history vaccination
No history of deworming",,,,,"-Omitron inj
- Vtabol tablet
One/fourth tablet once a day",,"On med drop
1ml twice a day 30 min before meal",,,,,,Kg,648.0,1005.0,2025-12-17T13:42:59.130,,
Mimi,2025-11-07,2025-12-15T13:43:00.000,,,Vomiting & Gastritis,The cat was presented with signs of gastritis. History and clinical evaluation suggested worm induced gastritis. Vaccination history were not up to date at the time of presentation.,,,,Worm induced gastritis,"-Ringer lactate, Omitron inj, Ranipet inj, Metvet inj, Conciplex inj",,"On med  drop
1 ml twice a day 30 min before meal for 5 days

Gut well
One spoon twice a day with meal for 5-10 days","Vaccination is advised after complete recovery preferably 7 days after healing ( 24 Dec 2025). Regular deworming should be continued as per standard protocol. Monitor for any recurrence of vomiting, anorexia or lethargy.",,,The cat responded well to treatment. Clinical signs have resolved and the patient is currently stable and healthy.,,Kg,649.0,1006.0,2025-12-17T13:50:46.033,,
Lucy,2023-06-26,2025-12-13T13:54:00.000,,,,,,,,,,,,,,,,,,,,,,
Maira,2025-12-17,2025-12-13T14:01:00.000,,,Pregnancy confirmation by x ray,"The dog was presented for radiographic confirmation of pregnancy. According to pet parent, the dog has already delivered one pup prior to presentation. The pet parent concerned about the possibility of remaining fetuses and requested confirmation",,"Abdominal x ray was performed to assess the presence of remaining fetuses
No additional fetal skeleton structures were observed on x ray",,,,,,"No further obstetrical intervention required at this time. Monitor the mother for abnormal vaginal discharge, anorexia, lethargy, fever, straining or sign of pain. Provide proper post partum care, adequate nutrition, hydration and rest. If any abnormal signs are noted, immediate veterinary attention is advised.",,,,,Kg,650.0,1008.0,2025-12-17T14:08:31.593,,
Sweety,,2025-12-13T14:09:00.000,2025-12-17T15:05:13.703,,Skin lesion on head region,The cat was presented with skin lesions in the head region. There is a history of a previous cat fight injury at the same time. The pet parent also reported hair loss and itching over the affected area.,,,,,Iver inj,,"My skin lotion
Apply on affected area twice a day",Maintain hygiene and isolate from other animals until recovery. Complete full course of treatment as prescribed. Follow up examination as advised to monitor response to therapy.,,,,5.0,Kg,651.0,1009.0,2025-12-17T14:10:18.863,,
Kiki,2025-09-17,2025-12-17T14:20:00.000,,,Injury with continuous sneezing,The cat was presented with a recent injury along with continuous sneezing. The pet parent reported that the cat has not been vaccinated. There is no previous history of regular preventive health care,,,,,"Cadistin inj, Melox inj and ARV",,"Dux Liv syrup
5 ml twice a day for 10 days

Amox clav (5ml=200mg)
1 ml twice a day after meal for 5 days",Keep the cat indoors and minimize stress. Antibiotic therapy as clinically indicated,,,,,Kg,652.0,1010.0,2025-12-17T14:48:16.463,,
Tiger,2015-03-20,2025-12-16T20:47:00.000,,,"Dog was reported to have difficulty standing and weakness in limbs, noticed by the pet parent since 7 days.","Appetite: Normal
Water intake normal
No history of trauma
Similar case was observed on 19 march 2025 ( at that time pet o cal and doxycyline was used)",,,,,,,"Nerve on tab
One tablet twice a day for 30 days after meal

Pet o cal tab
One tablet once a day after meal for 30 days","Give prescribed medicines regularly as advised. Restrict jumping, running and slippery floor movement. Provide soft bedding and supportive care. Ensure proper nutrition and hydration.",,,,28.0,Kg,653.0,1011.0,2025-12-17T20:52:33.133,,
Unknown,,2025-12-15T21:29:00.000,2025-12-17T21:32:47.053,,Presence of flea and alopecia on flea affected area,"Appetite,defecation and urination is normal. Recently given birth to two pup",,,,,Vaccination to 45 days pup,,"Allergia tablet
One tablet once a day after meal for 15 days

Nt ticks soap
Bath once a week for 3 weeks",,,,,,Kg,654.0,1012.0,2025-12-17T21:32:30.057,,
Bhunti,2017-08-05,2025-12-18T13:52:00.000,2025-12-18T14:13:55.153,,,,,,,,,,,,,,"Dead ||
Uterine neoplasia with secondary Pyometra caused endotoxin mediated endothelial dysfunction, sepsis induced hypercoagulability and venous stasis, fulfilling virchows triad and resulting in systemic thrombosis, splenic infarction and post operative unilateral hindlimb oedema

Detailed explanation of death
The uterine tumor predisposed the dog to secondary Pyometra resulting in chronic bacterial infection and endotoxemia. Circulating bacterial endotoxins triggered a severe systemic inflammatory response causing endothelial injury, activation of coagulation cascade and development of a marked hypercoagulable state. These changes fulfilled birchows triad leading to systemic thrombosis. Evidence of thromboembolic disease was suggested intraoperstively by the presence of a pale white margin on the spleen consistent with splenic ischemia or infarction. Postoperativelu, the development of unilateral oedema indicated venous thrombosis involving the pelvic or femoral veins.
Progressive septicemia, compounded by surgery related stress resulted in worsening circulatory dysfunction, microvascular thrombosis, impaired tissue perfusion and probable disseminated intravascular coagulation. These events culminated in multiple organ dysfunction and cardiovascular collapse leading to death.

||Final cause of death ||
Septic shock with thromboembolic complications secondary to uterine neoplasia and Pyometra.",,Kg,655.0,1013.0,2025-12-18T14:12:41.653,,
MIsty,2016-10-07,2025-12-13T14:18:00.000,,,Home visit IV fluid therapy due to diagnosed renal insufficiency with reduced appetite and lethargy,"Patient has been showing decreased appetite, lethargy and reduced water intake for the past few days.Saline was done on 13,14,16,17,18 (today) December 2025.",,,,,,,"18 Dec 2025
Aluminum hydroxide tablets 500 mg tablet
Half tablet twice a day with meal CONTD…

Enalapril 10 mg
Half tablet twice a day after meal CONTD…

Rkleen
One spoon once a day per orally CONTD","Vet pro renal diet is strongly advised.
Please give all the medications exactly as advised. Ensure adequate water intake. Appetite may improve gradually after treatment. Regular follow up and repeat kidney tests are important to monitor progress.",,,"Your pet is suffering from a kidney related problem due to which toxins and excess minerals can build up in the body and appetite may reduce.
Aluminum hydroxide has been prescribed to bind excess phosphorus in the gut which helps reduce further damage to kidneys.
Enalapril is given to protect kidney function and control blood pressure helping slow progression of kidney disease. Rkleen is prescribed to support kidney health and help remove waste products from the body. A prescription renal diet is advised as it is low in protein, phosphorous and salt which reduces the workload on the kidneys and helps maintain long term kidney health.",8.0,Kg,656.0,1014.0,2025-12-18T14:43:24.987,,
Leo,2025-02-18,2025-12-18T17:18:00.000,,,The dog was presented for elective spaying to prevent unwanted pregnancy and to reduce the risk of reproductive tract diseases such as Pyometra and mammary tumor,The dog is an intact female and history of regular oestrous cycle. Recently gave birth to 4 pup one and half month back according to pet parent.,,,,,,,"Clavum or Enclave 375 mg tablet
One tablet twice a day after meal for 5 days
Start from 19 Dec 2025","Keep the dog in a clean, quiet and confined area for 10 days. Prevent licking or biting of the surgical site ( Use an Elizabeth collar). Administer prescribed antibiotics as directed. Monitor the incision daily for swelling, discharge, redness or pain. Offer soft, easily digestible food after recovery from anesthesia. Contact the clinic immediately if the dog shows loss of appetite, vomiting, fever or wound complications.",,,,,Kg,657.0,1015.0,2025-12-18T17:24:50.677,,
TANGO,2020-07-30,2025-12-18T17:49:00.000,,,Pet parent came for medication,The pet parent reported the presence of blood in the faeces. The patient was treated with Metron as prescribed,,,,,,,"Gutwell (for tango & poco)
One spoon twice a day with meal Contd….

Pantaprazole 10 mg tablet
One tablet once a day at empty stomach for 3 days (Poco)

Two tablet once a day at empty stomach for 3 days ( Tango)",,,,,31.4,Kg,658.0,1016.0,2025-12-18T17:53:26.280,,
Messi,2025-11-06,2025-12-20T15:02:00.000,,,,,,,,,,,,,,,"Dhppil vaccine adminstered on 20 December. The puppy is scheduled to travel to Biratnagar on 23 December, 2025. Deworming was performed and bathing was completed during the visit",,Kg,,,,,
JONNY,2024-12-21,2025-12-21T15:09:00.000,,,asdfasdf,asdfasdf,,,,,,,,,,,,,Kg,,,,,
JONNY,2024-12-21,2025-12-21T15:09:00.000,,,asdfasdf,asdfasdf,,,,,,,,,,,,,Kg,659.0,1019.0,2025-12-21T15:17:05.827,,
Max,2017-12-21,2025-12-21T15:19:00.000,,,Emergency home visit required due to active uncontrolled hemorrhage from the left hind limb,The patient had undergone prior treatment with potassium permanganate suggested by vet tech.,,,,,An emergency home visit was performed. The patient was placed under general anesthesia. Local adrenaline was applied to control bleeding followed by administration of a hemstatic agent ( tranexamic acid). A firm pressure bandage was applied to the affected limb.,,,"Restrict activity to prevent re bleeding. Monitor for bleeding, swelling,  foul odor and discoloration. Follow up advised after 72 hour.",,,Hemostatis was achieved and the patient stabilized,,Kg,660.0,1020.0,2025-12-21T15:26:26.707,,
Cat,2021-12-21,2025-12-20T16:47:00.000,2026-01-10T12:17:05.640,,Alopecia at tail region,Vaccination and deworming on time.,,,,Flea allergic dermatits,,,"Glossy coat
One spray at a time

Sheen and Kleen shampoo
Bath once a week for 3 weeks

Veko cat spot on
Apply once","Monitor for pruritus, skin lesions or secondary infection. Recheck in 2 to 3 weeks or earlier if lesions worsens",,,Healed according to pet parent (wass app 10 Jan 2026),,Kg,661.0,1021.0,2025-12-21T16:51:39.713,,
Rio,2025-10-02,2025-12-22T18:31:00.000,,,,,,,,,,,,,,,,,,,,,,
Bella,2025-07-28,2025-12-21T18:33:00.000,,,,,,,,,,,,,,,,,,,,,,
Melo,2025-10-20,2025-12-21T18:53:00.000,,,Suspected of garlic ingestion,First dose of DHPPiL Vaccination Completed.,,,,?Intoxication,"Normal saline, consiplex inj, Raniva inj",,"Allergia
Half tablet once a day after or with meal for 60 days

Nerve on
Half tablet once a day after or with meal for 60 days

Sheen and kleen shampoo
Bath once

Prescription was issued after healing from tremor",,,,,,Kg,662.0,1024.0,2025-12-23T19:00:57.920,,
Melo,2025-10-20,2025-12-21T18:53:00.000,,,Suspected of garlic ingestion,First dose of DHPPiL Vaccination Completed.,,,,?Intoxication,"Normal saline, consiplex inj, Raniva inj",,"Allergia
Half tablet once a day after or with meal for 60 days

Nerve on
Half tablet once a day after or with meal for 60 days

Sheen and kleen shampoo
Bath once

Prescription was issued after healing from tremor",,,,,,Kg,663.0,1025.0,2025-12-23T19:00:58.163,,
Max,2017-12-21,2025-12-22T19:17:00.000,,,Follow up,,,,,,,,Medicine added. Ventriliv pet tablet - Three tablets twice a day after or with meal for 15 days,,,,,,Kg,664.0,1026.0,2025-12-23T19:19:15.657,,
Kale,2025-12-25,2025-12-25T14:38:00.000,,,,,,,,,,,,,,,,,,,,,,
Angel,2022-07-25,2025-12-25T17:02:00.000,,,,,,,,,,,,,,,,,,,,,,
Leo,2021-12-26,2025-12-26T16:27:00.000,2025-12-28T08:41:45.150,103.2,"Shivering, anorexia since 2 days","Complete vaccination, vomit and loose stool once 24 dec",,,,,"Normal saline, Raniva, Conciplex, Ceftapet inj, Glucovet inj",,"If the Leo appetite is normal
Rabeprazole
Half tablet once a day at empty stomach for 5 days

Hepasupport tablet
One tablet once a day per orally

Rkleen
3 ml once a day

If the shivering still persist buprenorphine can be given orally, 
Bupernorphine 0.2 mg tablet
Half tablet transmucosally twice a day for 3 days","Strict low fat diet. Monitor for vomiting, worsening pain and anorexia and return immediately if noted. prescription (gastrointestinal)diet is advised.",,,"Acute pancreatitis with systemic inflammatory response and mild azotemia.
Additional findings: Leukocyosis
For Post Injection site pain: gentle massage at injection site",7.0,Kg,665.0,1029.0,2025-12-26T16:30:15.290,,
Joy,2017-12-26,2025-12-26T16:34:00.000,,102.3,Foul smell from mouth and tartar on teeth,Hyperglycemia on previous blood test which was done at CVH,,,,,,,"Zotek
Apply on ear as advised by vet",,,,,,Kg,666.0,1030.0,2025-12-26T16:36:08.983,,
Lucy Thapa,2015-12-26,2025-12-25T16:38:00.000,2025-12-26T17:22:07.877,,Home visit requested due to suspected diabetes mellitus. The pet has been showing polyuria and polydypsia for the past few days. The owner checked blood glucose level at home using a glucometer and noticed persistent hyperglycemia.,Appetite: Normal. No history of vomiting and diarrhoea. No previous diagnosis of diabetes. Complete vaccination.,,,Blood glucose level elevated. It is suggestive of hyperglycemia. SGPT elevated. It indicates possible hepatic stress,,,,"Humulin (Intermediate acting)
Start 0.25 unit per kg SC every 12 hours for first 5 days
Give insulin immediately after the meal

Hepasupport 
One tablet twice a day after meal for 30 days","It can cause hypoglycemia and the sign of hypoglycemia is weakness, tremors, ataxia, seizure and syncope. If this case occurs, you can use glucose or honey syrup on gums and seek vet emergency care immediately.",,,,,Kg,667.0,1031.0,2025-12-26T17:17:49.093,,
Lucy Thapa,2015-12-26,2025-12-26T17:18:00.000,,,,,,,,,,,,,,,,,,,,,,
Hazel,2017-12-26,2025-12-26T17:30:00.000,,,,,,,,,,,,,,,,,,,,,,
Hazel,2017-12-26,2025-12-25T17:34:00.000,2025-12-26T19:00:35.260,,General check up and regular kidney function test,"Defecation Normal. Appetite: Normal, water intake and urination normal. No history of vomition and diarrhoea. No previous ear treatment recently.  Vaccination and deworming up to date.",,,Slight elevated liver enzymes indicative of hepatic stress,,,,"Zotek
Apply on ear as adivised by vet

Happie fur pet
Use tooth paste 2 or 3 times a day

Hepasupport
One tablet once a day for 30 days after or with meal",,,,,,Kg,668.0,1034.0,2025-12-26T17:37:13.287,,
Oreo,2025-08-10,2025-12-26T19:13:00.000,,,,,,,,,,,,,,,,,,,,,,
Bravo,2025-10-26,2025-12-26T19:15:00.000,,,,,,,,,,,,,,,,,,,,,,
Cuty,2025-09-26,2025-12-25T19:19:00.000,2025-12-26T19:20:35.613,,,,,,,,,,"Tricaine
5 ml once per day per orally sos

Lactulose
5 ml once per day per orally sos",,,,,,Kg,670.0,1038.0,2025-12-26T19:19:58.147,,
Popcorn,2020-07-02,2025-12-26T19:28:00.000,2025-12-26T19:30:00.307,,,,,,,,,,,,,,,,,,,,,
Popcorn,2020-07-02,2025-12-26T19:31:00.000,2025-12-28T16:16:08.343,,,,,,,Hypothyroidism,,,"-Thyronorm 100 mcg
Two and a half tablet once a day for 15 days

-Hepasupport
One tablet twice a day after meal or with meal for 30 days

-Dux Liv syrup
10 ml twice a day after or with meal for 30 days

-Logicin 600 mg tablet
One tablet twice a day after meal for 30 days

-Pantaprazole 10 mg
Two tablet once a day at empty stomach

Pet o vate ointment
As advised by vet",,,,,25.0,Kg,671.0,1040.0,2025-12-26T19:33:02.070,,
Suri,,2025-12-21T14:51:00.000,,,Continuous on heat and meowing.,No vaccination history,,,,,,,,,,,Spaying was done on 21 December 2025 and PHC with Anti Rabies Vaccine was given on Same date and it was hospitalized for one day and she was released on next day.,,Kg,672.0,1041.0,2025-12-27T14:53:27.713,,
Suri,,2025-12-21T14:53:00.000,,,,,,,,,,,,,,,,,,,,,,
Sweeti,,2025-12-20T14:55:00.000,,,Repeat ear infection.,,,,,,,,"Logicin 600 mg tablet
One tablet once a day after or with meal for 10 days

Zotek and Salcy ear cleanser
As advised by vet",Continue ear cleaning with Salcy ear cleanser with Logicin antibiotic tablet continue for 10 days. And it it may be required for 1 month. Please keep on updating about the case scenario.,,,,,Kg,673.0,1043.0,2025-12-27T14:57:15.550,,
Dalli,,2025-12-07T14:59:00.000,,,Spaying. As the Dalli was on heat,Accidental mating between Charlie and Dalli,,,,,,,,,,,Successfully surgery was completed on 7 December 2025 and it was hospitalized for 2 days. It was released on 9 December 2025,,Kg,674.0,1044.0,2025-12-27T15:02:18.723,,
Leo,2021-12-26,2025-12-27T08:12:00.000,,,,,,,,,,,,,,,,,,,,,,
Milli,2023-12-28,2025-12-28T09:45:00.000,2026-01-03T11:33:16.783,,OVARIOHYSTERECTOMY due to vulva prolapse,"Complete vaccination
No vomition and diarrhoea
8 am feeding of yomari",,,,,,,"Logicin tablet 300 mg
One tablet once a day after meal for 5 days",,,,,,Kg,676.0,1047.0,2025-12-28T09:46:32.857,,
Daisy,2013-12-28,2025-12-27T13:39:00.000,,,Anorexia,Anemia,,,,,,,,,,,,,Kg,677.0,1048.0,2025-12-28T13:40:14.347,,
Daisy,2013-12-28,2025-12-28T13:40:00.000,,,,,,,,,,,,,,,,,,,,,,
Popcorn,2020-07-02,2025-12-28T16:16:00.000,,,,,,,,,,,,,,,,,,,,,,
Popcorn,2020-07-02,2025-12-28T16:16:00.000,,,,,,,,,,,,,,,,,,,,,,
Yumi,2025-07-31,2025-12-31T18:00:00.000,,,Castration,Complete Vaccination. Deworming not done. Flea and ticks absent,,,,,,,"Clavum (Amox clav 5 ml =200 mg)
2 ml twice a day after meal for 5 days.",,,,,,Kg,678.0,1052.0,2025-12-31T18:01:33.613,,
Jelly,2023-12-31,2025-12-30T18:50:00.000,,,Pet parent reported that jelly is being emaciated.,Regular Vaccination and Deworming at happy pets,,,,,,,"Vet pro Recovery (it contains prebiotics)
one packet once a day with food for 7 days

Gutwell
Three spoon twice a day for one month

Fecal deterent
Two tablet once a day with food for 2 weeks (if the sign do not resolve in 14 days then please contact happy pets)


Prazigon tablet
two tablet once","Best protein source
- Chicken Breast meat
- Boiled Egg
-Vet solution (Recovery) as it contains protein and prebiotics
- Cottage cheese
-Soyabean
-Tofu

Best Carbohydrate source
-Rice
-Boiled Potato

70 Percent protein source and 30 percent carbohydrate source (Dog plate should look like)

NO MILK AND NO SALT",,,,,Kg,679.0,1053.0,2025-12-31T18:58:10.167,,
Jelly,2023-12-31,2025-12-31T18:58:00.000,,,,,,,,,,,,,,,,,,,,,,
Joy,2017-12-26,2025-12-28T19:21:00.000,,103.5,DENTAL SCALING,Complete vacccination and deworming,,,,"Peridontal disease, Gingivitis",,,"Amox clav 375 mg tablet
one tablet twice a day after or with meal for 14 days

Metron 400 mg tablet
one tablet once a day after or with meal for 14 days

- Hepasupport tablet
one tablet once a day after meal for 30 days

- Vet pro renal
As advised by VET",,,,Fever in this case may be due to dental disease,,Kg,680.0,1055.0,2025-12-31T19:25:34.687,,
Joy,2017-12-26,2025-12-28T19:25:00.000,,,,,,,,,,,,,,,,,,,,,,
Unknown,,2025-12-31T19:34:00.000,,,,,,,,,,,,,,,,,,,,,,
Angel,2025-09-25,2025-12-31T19:35:00.000,,,,,,,,,,,,,,,,,,,,,,
Bruno,2025-02-28,2025-12-31T19:39:00.000,,,,,,,,,,,,,,,,,,,,,,
Kale,,2025-12-30T19:42:00.000,,,"Vacccination and General grooming
Dandruff",,,,,Seborrhoic Dermatitis,"-Bathing was done with ketotek shampoo.
- DHPPiL Vaccination done",,"Glossy coat
3ml once a day contd

Ketotek shampoo
bath once a week for 3 weeks",,,,,,Kg,681.0,1060.0,2025-12-31T19:44:41.883,,
Angle,2025-02-28,2025-12-31T19:46:00.000,,,Fallen from 2 storeyed building,,,,,,,,"Pet o Cal Tab
one tablet once a day for 2 month with or after meal

Melox 2.5 mg tablet
one tablet once a day after or with meal SOS",,,,,,Kg,682.0,1061.0,2025-12-31T19:48:44.357,,
Luna,2025-04-30,2025-12-30T19:53:00.000,,,Open wound at left hind limb and inguinal region,Complete vaccination and Deworming as per pet parent,,,,,,,"My skin lotion
Apply on affected area twice a day

Logicin tablet
half tablet once a day after or with meal for 10 days",Advised for suture,,,,,Kg,683.0,1062.0,2025-12-31T19:55:39.057,,
Dog,2025-10-11,2025-12-30T19:57:00.000,,,,,,,,,,,,,,,,,,,,,,
Maggie das,2021-09-30,2026-01-01T17:10:00.000,,,,,,,,,,,,,,,,,,,,,,
Jenny,,2025-12-30T17:19:00.000,,,,,,,,,,,,,,,,,,,,,,
tashi,2024-11-11,2025-12-30T17:53:00.000,,,Rupture tumor,,,,,Ruptured tumor,Conciplex inj,,"Logicin tablet 300 mg
One tablet once a day after or with meal for 10 days

Melox 2.5 mg tablet
One tablet once a day after or with meal for 3 days

Pet o cal tablet
One tablet once a day per orally cont……","If the wound does not heal or tumor does not subside, surgery is the only one option.",,,,9.0,Kg,684.0,1066.0,2026-01-01T17:55:48.197,,
Puntu,,2025-12-30T17:58:00.000,,,Penetrating puncture wound due to nail injury,Anti rabies vaccination done by owner herself due to aggressive nature of dog,,,,,,,"Logicin 300 mg tablet and Melowin tablet 
But it is returned",,,,,,Kg,685.0,1067.0,2026-01-01T18:00:22.080,,
Jimmy,2025-11-01,2025-12-30T18:02:00.000,,,,,,,,,,,"-Momo vet vet solution  (Gastro intestinal)

- Glow max
3ml once a day

-Ketotek ct shampoo
Bath once a week for 3 weeks",,,,,,Kg,686.0,1068.0,2026-01-01T18:03:30.990,,
Kaley,2024-02-19,2026-01-02T11:25:00.000,,,Right Eye issue,Complete vaccination and deworming,,,,,Cadistin inj and Enropet inj,,"Allergia tablet
Two tablet twice a day after or with meal for 7 days

Cipro drop
Two drop twice a day cont.",,,,,25.0,Kg,687.0,1069.0,2026-01-03T11:26:51.630,,
Milli,2023-12-28,2026-01-02T11:27:00.000,,,Follow up,Feeding normal,,,,,,,"Melowin tablet 2.5 mg
Two tablet once a day after or with meal for 5 days",,,,,,Kg,688.0,1070.0,2026-01-03T11:28:40.297,,
Milli,2023-12-28,2025-01-29T11:30:00.000,2026-01-03T11:32:35.757,,Suture removed. As we have kept staple stitch,,,,,,Two Prolene suture placed mattress,,"Clavum 625 mg tablet
One tablet twice a day after meal for 5 days",,,,,,Kg,689.0,1071.0,2026-01-03T11:31:53.450,,
loki,2024-07-04,2026-01-04T14:32:00.000,2026-01-05T15:52:41.313,100.6,Shivering and lethargic,Complete vaccination and Appetite: Normal. Defecation: Normal,,,"Laboratory results show mild to moderate elevation of SGPT, suggesting liver stress or injury. Urea is elevated, indicating possible dehydration. PCV is near the upper limit, likely due to hemoconcentration.",,RANIVA INJ,,"VENTRILIV PET TABLET
ONE TABLET TWICE A DAY AFTER OR WITH MEAL FOR 20 DAYS

PANTAPRAZOLE 10 MG
ONE TABLET ONCE A DAY AT EMPTY STOMACH FOR 20 DAYS

Doxycycline 100 mg capsule
one capsule one a day after meal for 21 days",,,,,9.0,Kg,690.0,1072.0,2026-01-05T14:39:39.540,,
loki,2024-07-04,2026-01-05T14:39:00.000,,,,,,,,,,,,,,,,,,,,,,
Jenny,,2026-01-04T14:43:00.000,,,FALLEN FROM TERRACE; SMALL CUT AT NOSTRIL,Complete Vaccinatiom and Deworming,,,,,Melox inj,,"Pet o cal tab
Half tablet once a day with or without food Cont",,,,,,Kg,691.0,1074.0,2026-01-05T14:45:25.180,,
Lucy Thapa,2015-12-26,2026-01-05T14:48:00.000,2026-01-05T14:50:39.550,10.9,CONSTIPATION,USE OF THREE ENEMA AND SOAP WATER TO REMOVE STOOL. But did not succeed,,,,,LRS SALINE; Tramadol inj ; Pantaprazole,,,,,,,,Kg,692.0,1075.0,2026-01-05T14:49:38.477,,
Lucy Thapa,2015-12-26,2026-01-04T14:50:00.000,,,Costipation since three days.,,,,,,Three enema and soap water with Manual evacuation of stool,,lactulose 50 ml twice a day,if the constipation does not clear then further hospitization may be required.,,,,,Kg,693.0,1076.0,2026-01-05T14:52:27.320,,
kali,2021-06-09,2026-01-04T14:55:00.000,,,,,,,,,,,,,,,,,,,,,,
Lucy Thapa,2015-12-26,2026-01-05T19:11:00.000,,,,,,,,,,,,,,,,,,,,,,
Soul,2022-11-24,2026-01-03T19:37:00.000,,,alopecia on head region,,,,,,Iver inj and Curadex inj,,"Ketotek shampoo
apply once on affected area once a week cont for 3 weeks",,,,,,Kg,694.0,1079.0,2026-01-05T19:39:15.567,,
Max,2025-10-05,2026-01-02T19:43:00.000,,,,,,,,,,,,,,,,,,,,,,
